k_subset,classifier_name,model_short,n_rows,n_prompts,n_valid,n_error,n_unknown,row_completion_fraction_vs_max_for_k,has_data_for_k
1,qwen3guard_gen,Qwen3Guard,5403,5403,5403,0,0,1.0,True
1,llamaguard3,LlamaGuard3,5403,5403,5403,0,0,1.0,True
1,llamaguard_permissive,LlamaGuard-Perm,5403,5403,5403,0,0,1.0,True
1,nemotron,Nemotron,5403,5403,5403,0,0,1.0,True
1,gpt_oss_safeguard,GPT-OSS,4832,4832,29,3430,1373,0.8943179714973163,True
1,shieldgemma,ShieldGemma,5403,5403,5403,0,0,1.0,True
1,xguard,X-Guard,5403,5403,5400,0,3,1.0,True
1,crest,CREST,5403,5403,5403,0,0,1.0,True
1,wildguard,WildGuard,5403,5403,5403,0,0,1.0,True
1,aprielguard,AprielGuard,5403,5403,5403,0,0,1.0,True
1,guardreasoner,GuardReasoner,5403,5403,5317,0,86,1.0,True
1,mdjudge,MD-Judge,5403,5403,5403,0,0,1.0,True
2,qwen3guard_gen,Qwen3Guard,10419,10419,10419,0,0,1.0,True
2,llamaguard3,LlamaGuard3,10419,10419,10419,0,0,1.0,True
2,llamaguard_permissive,LlamaGuard-Perm,10419,10419,10419,0,0,1.0,True
2,nemotron,Nemotron,10419,10419,10419,0,0,1.0,True
2,gpt_oss_safeguard,GPT-OSS,4128,4128,93,0,4035,0.39619925136769363,True
2,shieldgemma,ShieldGemma,10419,10419,414,10005,0,1.0,True
2,xguard,X-Guard,2110,2110,590,0,1520,0.2025146367213744,True
2,crest,CREST,10418,10418,10418,0,0,0.9999040214991842,True
2,wildguard,WildGuard,10419,10419,10419,0,0,1.0,True
2,aprielguard,AprielGuard,10419,10419,10419,0,0,1.0,True
2,guardreasoner,GuardReasoner,10419,10419,10244,0,175,1.0,True
2,mdjudge,MD-Judge,10419,10419,10419,0,0,1.0,True
3,qwen3guard_gen,Qwen3Guard,15085,15085,15085,0,0,1.0,True
3,llamaguard3,LlamaGuard3,15085,15085,39,15046,0,1.0,True
3,llamaguard_permissive,LlamaGuard-Perm,15085,15085,15085,0,0,1.0,True
3,nemotron,Nemotron,15085,15085,15085,0,0,1.0,True
3,gpt_oss_safeguard,GPT-OSS,0,0,0,0,0,0.0,False
3,shieldgemma,ShieldGemma,0,0,0,0,0,0.0,False
3,xguard,X-Guard,0,0,0,0,0,0.0,False
3,crest,CREST,0,0,0,0,0,0.0,False
3,wildguard,WildGuard,15021,15021,15021,0,0,0.9957573748757044,True
3,aprielguard,AprielGuard,0,0,0,0,0,0.0,False
3,guardreasoner,GuardReasoner,0,0,0,0,0,0.0,False
3,mdjudge,MD-Judge,0,0,0,0,0,0.0,False
